delta	delta_high	alpha	Pizza Price	Pizza Amount	Fondue Price	Fondue Amount	Italian Wage	Swiss Hours Worked	Italian Wage	Swiss Hours Worked	Deviation
0.2	0.04	5	36.23	154.206	36.229	154.211	7.625	143.841	7.625	143.838	0.013881
0.2	0.04	5.5	32.921	150.721	39.493	157.368	7.695	152.157	7.552	135.338	0.015014
0.2	0.04	6	29.531	146.939	42.662	160.278	7.753	160.474	7.47	127.011	0.015214
0.2	0.04	6.5	26.076	142.752	45.731	162.989	7.801	168.811	7.378	118.772	0.015040
0.2	0.04	7	22.562	138.051	48.691	165.524	7.838	177.139	7.278	110.644	0.014530
0.2	0.04	7.5	18.999	132.63	51.536	167.906	7.865	185.455	7.171	102.564	0.014246
0.2	0.04	8	15.39	126.208	54.254	170.144	7.88	193.722	7.056	94.574	0.014443
0.2	0.04	8.5	11.722	118.354	56.806	172.26	7.88	202.003	6.93	86.878	0.013730
0.2	0.04	9	7.989	107.975	59.169	174.266	7.863	210.311	6.795	79.501	0.013814
0.2	0.06	1	60.389	170.902	8.169	104.656	7.051	102.857	7.764	189.126	0.013944
0.2	0.06	1.5	58.015	168.845	11.995	114.826	7.171	106.875	7.806	182.91	0.013605
0.2	0.06	2	55.45	166.661	15.757	122.577	7.28	111.257	7.831	176.737	0.013679
0.2	0.06	2.5	52.706	164.37	19.463	128.912	7.377	115.951	7.841	170.765	0.013607
0.2	0.06	3	49.821	161.932	23.117	134.303	7.465	120.85	7.839	164.821	0.013523
0.2	0.06	3.5	46.808	159.352	26.718	138.994	7.544	125.898	7.826	158.99	0.013938
0.2	0.06	4	43.686	156.568	30.256	143.22	7.614	131.16	7.803	153.174	0.014057
0.2	0.06	4.5	40.45	153.637	33.73	146.98	7.674	136.497	7.769	147.557	0.013840
0.2	0.06	5	37.135	150.44	37.135	150.444	7.727	141.959	7.727	141.956	0.013806
0.2	0.06	5.5	33.726	146.987	40.445	153.642	7.768	147.59	7.673	136.521	0.013605
0.2	0.06	6	30.255	143.204	43.68	156.585	7.802	153.216	7.613	131.15	0.013665
0.2	0.06	6.5	26.714	139.016	46.805	159.347	7.826	158.984	7.543	125.944	0.013552
0.2	0.06	7	23.118	134.291	49.824	161.931	7.839	164.8	7.465	120.826	0.013791
0.2	0.06	7.5	19.464	128.905	52.708	164.365	7.841	170.736	7.377	115.929	0.013719
0.2	0.06	8	15.758	122.576	55.456	166.654	7.831	176.708	7.28	111.234	0.013821
0.2	0.06	8.5	11.995	114.809	58.015	168.849	7.806	182.915	7.171	106.868	0.014086
0.2	0.06	9	8.167	104.634	60.372	170.918	7.763	189.208	7.049	102.882	0.014447
0.2	0.08	1	61.078	169.059	8.271	102.818	7.273	125.213	7.63	168.099	0.014083
0.2	0.08	1.5	58.721	166.953	12.154	112.864	7.378	126.205	7.696	164.017	0.014037
0.2	0.08	2	56.149	164.733	15.972	120.555	7.469	127.598	7.745	160.166	0.014081
0.2	0.08	2.5	53.391	162.405	19.733	126.846	7.547	129.3	7.779	156.566	0.013941
0.2	0.08	3	50.475	159.954	23.439	132.198	7.613	131.26	7.8	153.156	0.013680
0.2	0.08	3.5	47.455	157.309	27.101	136.897	7.673	133.331	7.814	149.762	0.014179
0.2	0.08	4	44.275	154.559	30.683	141.086	7.718	135.738	7.812	146.742	0.013810
0.2	0.08	4.5	41.01	151.573	34.204	144.891	7.756	138.244	7.803	143.755	0.013647
0.2	0.08	5	37.647	148.372	37.648	148.365	7.784	140.935	7.784	140.941	0.013563
0.2	0.08	5.5	34.197	144.895	41	151.591	7.802	143.81	7.754	138.302	0.013499
0.2	0.08	6	30.681	141.084	44.272	154.566	7.812	146.761	7.717	135.752	0.013841
0.2	0.08	6.5	27.094	136.907	47.442	157.325	7.812	149.838	7.671	133.387	0.013822
0.2	0.08	7	23.445	132.203	50.491	159.93	7.802	153.068	7.615	131.21	0.014069
0.2	0.08	7.5	19.731	126.834	53.382	162.418	7.778	156.607	7.546	129.324	0.013641
0.2	0.08	8	15.97	120.545	56.137	164.749	7.744	160.228	7.468	127.632	0.013743
0.2	0.08	8.5	12.151	112.868	58.702	166.971	7.694	164.097	7.376	126.27	0.013639
0.2	0.08	9	8.271	102.827	61.078	169.057	7.63	168.092	7.273	125.212	0.014125
0.2	0.1	1	61.285	168.485	8.303	102.221	7.465	146.938	7.465	146.938	0.013807
